date,ticker,open,high,low,close
2016-07-18,INDIA VIX,15.63,16.2,14.1,15.98
2016-07-19,INDIA VIX,15.98,16.23,13.92,15.79
2016-07-20,INDIA VIX,15.79,16.21,14.13,15.99
2016-07-21,INDIA VIX,15.99,16.11,14.02,15.71
2016-07-22,INDIA VIX,15.71,15.95,14.44,15.49
2016-07-25,INDIA VIX,15.49,16.11,13.52,15.71
2016-07-26,INDIA VIX,15.71,16.14,13.94,15.62
2016-07-27,INDIA VIX,15.62,15.67,14.47,15.42
2016-07-28,INDIA VIX,15.42,15.53,12.59,15.14
2016-07-29,INDIA VIX,15.14,15.23,14.15,14.91
2016-08-01,INDIA VIX,14.91,15.47,14.36,15.18
2016-08-02,INDIA VIX,15.18,15.79,13.95,15.69
2016-08-03,INDIA VIX,15.69,16.44,14.29,16.23
2016-08-04,INDIA VIX,16.23,16.23,14.1,15.14
2016-08-05,INDIA VIX,15.14,15.14,13.61,14.35
2016-08-08,INDIA VIX,14.35,14.82,13.11,14.58
2016-08-09,INDIA VIX,14.58,14.96,12.35,14.53
2016-08-10,INDIA VIX,14.53,15.25,12.71,14.92
2016-08-11,INDIA VIX,14.92,14.92,13.17,14.21
2016-08-12,INDIA VIX,14.21,14.21,12.37,13.77
2016-08-16,INDIA VIX,13.77,14.63,13.14,14.18
2016-08-17,INDIA VIX,14.18,14.9,12.71,14.78
2016-08-18,INDIA VIX,14.78,14.78,12.91,14.55
2016-08-19,INDIA VIX,14.55,14.9,12.1,14.53
2016-08-22,INDIA VIX,14.53,15.0,13.27,14.23
2016-08-23,INDIA VIX,14.23,14.62,13.06,13.89
2016-08-24,INDIA VIX,13.89,14.03,12.39,13.48
2016-08-25,INDIA VIX,13.48,13.61,10.92,13.28
2016-08-26,INDIA VIX,13.28,14.2,12.35,13.57
2016-08-29,INDIA VIX,13.57,14.0,12.93,13.16
2016-08-30,INDIA VIX,13.16,13.16,12.29,13.02
2016-08-31,INDIA VIX,13.02,13.54,12.24,13.24
2016-09-01,INDIA VIX,13.24,13.68,12.53,13.34
2016-09-02,INDIA VIX,13.34,13.44,12.63,12.94
2016-09-06,INDIA VIX,12.94,13.18,12.35,12.75
2016-09-07,INDIA VIX,12.75,13.35,11.94,13.14
2016-09-08,INDIA VIX,13.14,13.23,12.04,13.11
2016-09-09,INDIA VIX,13.11,13.45,12.63,13.23
2016-09-12,INDIA VIX,13.23,15.34,12.7,15.24
2016-09-14,INDIA VIX,15.24,15.52,14.2,14.76
2016-09-15,INDIA VIX,14.76,15.08,13.44,14.67
2016-09-16,INDIA VIX,14.67,14.95,13.42,14.58
2016-09-19,INDIA VIX,14.58,15.2,13.64,14.94
2016-09-20,INDIA VIX,14.94,15.15,13.77,14.78
2016-09-21,INDIA VIX,14.78,14.95,13.16,14.8
2016-09-22,INDIA VIX,14.8,14.8,12.59,13.34
2016-09-23,INDIA VIX,13.34,13.59,12.03,13.24
2016-09-26,INDIA VIX,13.24,14.78,12.81,14.56
2016-09-27,INDIA VIX,14.56,14.56,13.77,14.25
2016-09-28,INDIA VIX,14.25,14.35,13.49,13.84
2016-09-29,INDIA VIX,13.84,19.12,13.15,18.45
2016-09-30,INDIA VIX,18.45,18.84,16.82,17.18
2016-10-03,INDIA VIX,17.18,17.18,15.51,15.62
2016-10-04,INDIA VIX,15.62,15.71,14.81,14.99
2016-10-05,INDIA VIX,14.99,15.15,13.91,14.93
2016-10-06,INDIA VIX,14.92,15.12,14.32,14.83
2016-10-07,INDIA VIX,14.83,14.97,13.78,14.48
2016-10-10,INDIA VIX,14.48,14.56,13.27,14.28
2016-10-13,INDIA VIX,14.28,16.0,14.28,15.42
2016-10-14,INDIA VIX,15.42,15.42,14.33,14.88
2016-10-17,INDIA VIX,14.88,16.05,14.34,15.65
2016-10-18,INDIA VIX,15.65,15.65,14.3,14.53
2016-10-19,INDIA VIX,14.53,14.94,13.15,14.61
2016-10-20,INDIA VIX,14.61,14.61,12.74,14.16
